Audio Path                                                                                    , Gốc (Reference)                                                         , Máy đoán (Prediction)
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV02\VIVOSDEV02_R071.wav, mỗi khi xe rác đi ngang qua đánh kẻng mới đem ra đổ                     , mỗi khi xe lá ty ngang qua tắn kẹm mới đem ra đổ
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV02\VIVOSDEV02_R076.wav, thay vì bốn giờ như trước đây                                           , thay vì bốn giờ như trước đây
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV02\VIVOSDEV02_R079.wav, hầu hết nang này có nguồn gốc từ gân cơ chân ngỗng                      , hầu hết cha này có nguồn gốp từ gân kơ chân ngỏng
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV02\VIVOSDEV02_R087.wav, tiếng mã tấu sắc lạnh chạm nhau và cả tiếng rên rỉ                      , tý mã đấu sắc lặng cạm nhau và cả tiến ren gỉ
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV02\VIVOSDEV02_R089.wav, có hẳn một loạt bài viết chuyên đề về quản trị thương hiệu              , có hẳn một lạ bài viết chin đề về quản trị thương hiệu
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV02\VIVOSDEV02_R091.wav, hợp với hương vị đầu xuân                                               , hợp với hương vị đầu sân
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV02\VIVOSDEV02_R099.wav, ổng nói ở sài gòn ổng đã làm ông hội đồng như thế nào                   , ổng nói ở sài gòn ổng đã làm ông hội đồng như thế nào
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV02\VIVOSDEV02_R009.wav, bà quảng vẫn đang bận rộn                                               , bà quảng vĩnh đang bận ruộng
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV02\VIVOSDEV02_T012.wav, mày dám chơi vợ tao tao phải giết mày                                   , mày dám chê vợ tao đa chỉ díp mày
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV02\VIVOSDEV02_T013.wav, tống cổ hắn đi không được để hắn vào đây nữa                            , đóng cổ hánh đi không được để hắn vào đây nữa
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV02\VIVOSDEV02_T015.wav, hắn chơi vợ anh thì sao anh không chơi vợ hắn                           , hán chơi vợ anh thì sao ăn không chơi vợ anh
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV02\VIVOSDEV02_T022.wav, tháng trước chồng về mấy ngày mình nằm ngủ thấy ấm kinh khủng           , tháng chứa thòm về mấy ngày mình nằm ngủ thấy ấm kin khủng
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV02\VIVOSDEV02_T031.wav, cho em góp một viên gạch                                                , cho em góp một viên gặt
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV02\VIVOSDEV02_T043.wav, đi kiểm tra lại bác sĩ khuyên nên mổ nội soi                            , đi kiểm tra lại bác sĩ khuyên nên mỗ nổi soi
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV02\VIVOSDEV02_T004.wav, hôm nay em có tới năm khách                                             , hôm nay em có tới năm khác
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV02\VIVOSDEV02_T050.wav, anh bị đẩy từ hà nội vào sài gòn                                        , ăn bị đẩy từ hà nội và sài gòn
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV03\VIVOSDEV03_R109.wav, phù hợp cho mọi cân nặng                                                , phù hợp cho mọi cân nặng
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV03\VIVOSDEV03_R010.wav, âm thầm chắt chiu nuôi tôi khôn lớn                                     , âm thầm chắt chiêu nuôi tôi khôn lớn
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV03\VIVOSDEV03_R113.wav, vì bạn có thể lảy cò từng phát một                                      , vì bạn có thể lẫy cò từng phát một
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV03\VIVOSDEV03_R117.wav, vai trò của chế độ dinh dưỡng                                           , vai trò của chế độ dinh dưỡng
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV03\VIVOSDEV03_R119.wav, không hiểu sao                                                          , không hiểu sao
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV03\VIVOSDEV03_R120.wav, khiến phụ huynh hiểu nhầm                                               , khiến phụ huynh hiểu nhằm
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV03\VIVOSDEV03_R125.wav, mỗi khi cơn gió đến                                                     , mỗi khi cơn giối đến
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV03\VIVOSDEV03_R136.wav, này bón cho con thương đỡ yếu đau còi cọc                               , này bón cho con thương đỡ yếu đao còi cọc
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV03\VIVOSDEV03_R142.wav, trong tư thế phi ngựa chồm lên                                          , trong tư thế phi ngửa chồm lên
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV03\VIVOSDEV03_R144.wav, mà cũng đầy thanh khiết                                                 , mà cũng đầy thanh khiết
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV03\VIVOSDEV03_R148.wav, một vụ chập điện đã khiến ngọn lửa bùng lên                             , một vụ chập điện đã khiến ngọn lửa buùn lên
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV03\VIVOSDEV03_R149.wav, bà con chòm xóm                                                         , bà con thồm sớm
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV03\VIVOSDEV03_R156.wav, đây là mức lãi suất thấp nhất qua các phiên đấu thầu                    , đây là mức lãi xuất thấp nhất qua các phiên đấu thầu
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV03\VIVOSDEV03_R160.wav, dọc hai bên sông ngàn sâu                                               , dọc hai bên sông ngàn sâu
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV03\VIVOSDEV03_R163.wav, nhưng oái ăm thay                                                       , nhưng oái âm thai
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV03\VIVOSDEV03_R180.wav, sau cải cách                                                            , sao cải cách
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV03\VIVOSDEV03_R182.wav, một kế hoạch tương tự được áp dụng ở anh                                , một kế hoạch tương tự được áp dụng ở anh
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV03\VIVOSDEV03_R191.wav, cỡi ngựa đi thi                                                         , kởi ngửa đi thi
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV03\VIVOSDEV03_R193.wav, ôi dào                                                                  , ôi dào
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV03\VIVOSDEV03_R195.wav, không một chiếc xe lạ nào có thể mon men vào được                       , không một chiếc xe lại nào có thể mon men vào được
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV03\VIVOSDEV03_R198.wav, rồi đi khắp nơi tìm thầy chữa bệnh cho anh                              , rồi đi khắp nơi tìm thầy chữa bệnh cho anh
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV03\VIVOSDEV03_R020.wav, bên trong trái vả khi bổ ra sẽ rỗng chứ không đặc như trái sung         , bên trong trái vã khi bổ ra sẽ rỗng chứ không đặt như trái xung
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV03\VIVOSDEV03_R029.wav, nên hai mố cầu bị sụp đất khiến lối đi bộ quá nguy hiểm                 , nên hai mố cầu bị xập đất khiến lối đi bộ quá nguy hiểm
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV03\VIVOSDEV03_R041.wav, luôn ổn định và các xe trấu khá nặng                                    , luôn ổn định và các xe tráu khá nặng
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV03\VIVOSDEV03_R044.wav, và khi họ vạch tóc ra                                                   , và khi họ vạch tóc ra
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV03\VIVOSDEV03_R046.wav, của chính sách đối với quy mô của thị trường                            , của chính sách đối với quy mô của thị trường
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV03\VIVOSDEV03_R056.wav, sương mù đã đọng thành những hạt giá băng                               , sương mù đã động thành những hạt giá băng
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV03\VIVOSDEV03_R057.wav, chứ không phải tài năng thiên bẩm nào                                   , chứ không phải tài năng thiên bẫm nào
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV03\VIVOSDEV03_R061.wav, là tiếng trống lân tùng xèng vui tai                                    , là tiếng trống lân tùng xèn vui tai
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV03\VIVOSDEV03_R007.wav, một chuyến du lịch dã ngoại tại bò cạp vàng                             , một chuyến du lịch giải ngoại tại bò càp vàng
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV03\VIVOSDEV03_R082.wav, ghép cành mai giảo vào thân cổ thụ cho hoa cánh lớn                     , ghép cành mai giảo vào thân cổ thủ cho hoa cánh lớn
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV03\VIVOSDEV03_R092.wav, để chọn máy in cho phù hợp                                              , để chọn mái inh cho phù hợp
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV03\VIVOSDEV03_T017.wav, bác vẫn chưa trả tiền cho tôi đây nhé                                   , bác vẫn chưa trả tiền cho tôi đấy nhé
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV03\VIVOSDEV03_T018.wav, tôi đang bận họp                                                        , tôi đang bận họp
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV03\VIVOSDEV03_T023.wav, cướp đầy đường công an chỉ lo hạch sách                                 , cướp đầy đường công an chỉ lo hoạch sách
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV03\VIVOSDEV03_T035.wav, mẹ ơi có mua đồ cho con không                                           , mẹ ơi có mua đồ cho con không
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV03\VIVOSDEV03_T041.wav, con chó lủi thủi đi theo chủ nó                                         , con chó lưửi thuủi đi theo chủ nó
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV03\VIVOSDEV03_T047.wav, trong phim có nhiều cảnh chém giết                                      , trong phim có nhiều cảnh chém diết
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV03\VIVOSDEV03_T048.wav, diễn viên chính đứng như khúc gỗ                                        , diễn viên chính đứng như khúc gỗ
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV03\VIVOSDEV03_T009.wav, bác đang suy nghĩ gì thế                                                , bá đang suy nghĩ gì thế
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV01\VIVOSDEV01_R108.wav, khi trẫm khỏi bệnh thì sẽ chém đầu                                      , khi chẩm khỏi bệnh thì sẽ chém đầu
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV01\VIVOSDEV01_R117.wav, việc một quyển tiểu thuyết như thế                                      , việc một quyển tiểu huyết như thế
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV01\VIVOSDEV01_R012.wav, những cơn gió mạnh và mưa đóng băng gây trơn trợt                       , những cơn gió mạnh và mưa đóng băng gây chân chợt
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV01\VIVOSDEV01_R130.wav, não bộ chúng ta phát triển những rung động yêu thương                   , nở bộ chúng ta phát triển những gung động yêu hương
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV01\VIVOSDEV01_R139.wav, trừ khi bạn biết tôn trọng bản thân mình                                , trừ khi bạn viết tôn trọng bản thân mình
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV01\VIVOSDEV01_R141.wav, những con đường ngắn ngủn như những nhát cắt                            , những con đường ngắn ngủn như những nhát cắt
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV01\VIVOSDEV01_R146.wav, hiện ra tận phía xa                                                     , hiện ra tận phía xa
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV01\VIVOSDEV01_R150.wav, xin được chân khuân vác                                                 , xin được chân khuân vét
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV01\VIVOSDEV01_R151.wav, nhưng khi tiến gần vào vịnh thì mặt biển bị rạn vỡ                      , nhưng khi tiếng gần vờ vịnh thì mật biển bị gạn vỡ
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV01\VIVOSDEV01_R164.wav, một bà ngoại giặt đồ thuê                                               , một bà ngoại giặt đồ hôi
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV01\VIVOSDEV01_R170.wav, đôi bàn tay em không được mềm mại và nõn nà                             , đôi bàn tay em không được mềm mợi và nỏn nà
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV01\VIVOSDEV01_R172.wav, tây giang vẫn còn khắc khoải không thể vào xã a nông                    , tây giang vẫn còn khắt khỏi không thể vào xã a nông
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV01\VIVOSDEV01_R174.wav, những dự định cần phải được biến thành hiện thực                        , những dự định cần phải được biến hành hiện thực
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV01\VIVOSDEV01_R176.wav, để tàu không phải cưỡi cầu tàu                                          , để tàu không phải cửi cầu tàu
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV01\VIVOSDEV01_R180.wav, bàn chổi sơn bằng bông mềm rất phổ biến                                 , bàn chổi sơn bằng bông mềm rất phổ biến
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV01\VIVOSDEV01_R187.wav, thật sự mà là bởi lòng hận thù                                          , thực sự mà là bởi lòng hận thù
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV01\VIVOSDEV01_R188.wav, việc quy tội để bùng nổ loại sách này là do                             , việc qui tội để bùng nổ loại sách này là do
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV01\VIVOSDEV01_R027.wav, di tích có bảy phỗng ông và hai phỗng bà được làm bằng gỗ mít           , di tích có bảy phỏng ông và hai phỏng bà được làm bằng gộ míc
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV01\VIVOSDEV01_R028.wav, các chú cũng thoải mái phóng uế giữa chốn đông người mà không sợ        , các chúa cũng thoải máy phóng ế giữa chuốn đông người mà không sợ
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV01\VIVOSDEV01_R002.wav, tiếng cọc cạch khựng lại của những khớp sắt                             , tiếng cọc kạch khận lợi của những góp sắc
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV01\VIVOSDEV01_R034.wav, người ta nói                                                            , người ta nói
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV01\VIVOSDEV01_R003.wav, cũng lên tiếng ủng hộ các kiến nghị này                                 , cũng lên tiếng ủng hộ các kiến nghị này
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV01\VIVOSDEV01_R043.wav, anh phú chưa bú được sữa mẹ lần nào                                     , anh phú chưa bú được sữa mẹ lần nào
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV01\VIVOSDEV01_R044.wav, ngọn lửa bạo động ở trung đông và phá vỡ lộ trình hòa bình              , ngọn lửa bọ động ở trung đông và phá vỡ loại trình hòa bình
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV01\VIVOSDEV01_R055.wav, và rất sáng tạo                                                         , và rất sáng tạo
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV01\VIVOSDEV01_R057.wav, nhưng giấc ngủ chập chờn                                                , nhưng giất ngủ chập chờn
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV01\VIVOSDEV01_R058.wav, giám đốc sở giáo dục đào tạo ninh thuận cho biết                        , giám đốc sở giáo dục đào tạo ninh thuận cho biết
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV01\VIVOSDEV01_R069.wav, đèn bị hư rồi ba                                                        , đèn bị hư gòi ba
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV01\VIVOSDEV01_R071.wav, trưởng công an xã chạy sang can ngăn cũng bị tuyến đánh tiếp            , trưởng công an xã chạy san can ngăn cũng bị tuyến đánh tiếp
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV01\VIVOSDEV01_R078.wav, nghe chúng tôi hỏi điều này chị ngát rân rấn nước mắt                   , nghe chúng tôi hỏi điều này chuyện ngát gân gấn nước mắt
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV01\VIVOSDEV01_R086.wav, công văn đề nghị tỉnh con tum xây dựng cửa khẩu                         , công văn đề nghị tỉnh con tum xây dựng cửa khẩu
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV01\VIVOSDEV01_R089.wav, nhưng tình yêu vẫn nồng nàn và say đắm như buổi ban đầu                 , nhưng tình yêu vẫn nồng nàn và say đấm như buổi ban đầu
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV01\VIVOSDEV01_R092.wav, do chính phủ mỹ tiến hành ở việt nam                                    , do chính phủ mỹ tiến hành ở việt nam
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV01\VIVOSDEV01_R098.wav, tỉnh quảng trị đã phê duyệt                                             , tỉnh quảng trị đã phê duyệt
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV01\VIVOSDEV01_R099.wav, nhưng tôi thích xem bộ phim truyện phát ngay sau chương trình này       , nhưng tôi thích xem bộ phim chuyển phát ngay sau chương trình này
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV01\VIVOSDEV01_T002.wav, cũng chưa biết nữa                                                      , cũng chưa biết nữa
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV01\VIVOSDEV01_T030.wav, xuân này em không về                                                    , xuân này em không về
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV01\VIVOSDEV01_T038.wav, chắc sắp tới thu xếp đi du lịch thôi                                    , chắc sắp tới hu xíp đi du lịch thôi
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV01\VIVOSDEV01_T043.wav, nó trốn mất tiêu rồi còn đâu                                            , nó chống mức tiêu rồi còn đâu
