Gốc (Reference)                                                         , Máy đoán (Prediction)
cỡi ngựa đi thi                                                         , cởi ngự đi thì thì
ôi dào                                                                  , oiều
không một chiếc xe lạ nào có thể mon men vào được                       , không một chiếc sẽ lạ nạo có thể mong men vào được
rồi đi khắp nơi tìm thầy chữa bệnh cho anh                              , rồi đi khắp nơi tìm thầy chỉa bạn cho anh
bên trong trái vả khi bổ ra sẽ rỗng chứ không đặc như trái sung         , bình trong trái vả khi bổ ra sẽ rỗng chứ không đặc như trái xung
nên hai mố cầu bị sụp đất khiến lối đi bộ quá nguy hiểm                 , ninh hai mố cầu bị giọp đất khiến lối đi bộ quá nguy hiệm
luôn ổn định và các xe trấu khá nặng                                    , luôn ổn định và các xe trấu khá nặng
và khi họ vạch tóc ra                                                   , và khi họ vách tóc ra
của chính sách đối với quy mô của thị trường                            , cửa chính sách đối với qui mô của thị trường
sương mù đã đọng thành những hạt giá băng                               , sung mùu đã đống thành những hạt giá băn
chứ không phải tài năng thiên bẩm nào                                   , chứ không phải tài năng thiên bẩm nào
là tiếng trống lân tùng xèng vui tai                                    , là tiếng trống lân tùng sàn vui tay
một chuyến du lịch dã ngoại tại bò cạp vàng                             , một chuyến du lịch giảng ở é tại bo cạp vạn
ghép cành mai giảo vào thân cổ thụ cho hoa cánh lớn                     , gép cạnh may giảo vào thân cổ thủ cho hoa cánh lớn
để chọn máy in cho phù hợp                                              , để chọn máy anh cho phù hợp
bác vẫn chưa trả tiền cho tôi đây nhé                                   , bác phẩn chưa trả tiền chủ tôi đấy nghe
tôi đang bận họp                                                        , tôi đang bạn hập
cướp đầy đường công an chỉ lo hạch sách                                 , ướp đầy được công ăn chỉ lo hạt sách
mẹ ơi có mua đồ cho con không                                           , mẹ ơi có mua đồ cho con không
con chó lủi thủi đi theo chủ nó                                         , con chó lượi thủi đi theo chủ nó
trong phim có nhiều cảnh chém giết                                      , trong phim có nhiều cảnh chém giết
diễn viên chính đứng như khúc gỗ                                        , những viện chính đứng như khúc gỗ
bác đang suy nghĩ gì thế                                                , mỗi đang xuống ỉ gì thế
khi trẫm khỏi bệnh thì sẽ chém đầu                                      , khi chấm có bịnh hì sẽ chém đầu
việc một quyển tiểu thuyết như thế                                      , việt một quyễn tiểu hiết như hới
những cơn gió mạnh và mưa đóng băng gây trơn trợt                       , những cơn gió mạnh vờ mưa đóng băng gây chơn chợt
não bộ chúng ta phát triển những rung động yêu thương                   , ngỏ bộ chúng ta phát chuyển những gung động yêu hương
trừ khi bạn biết tôn trọng bản thân mình                                , trừ khi bạn biết tôn trọng bản hơn mình
những con đường ngắn ngủn như những nhát cắt                            , những con đường ngấn ngủng như những nhát cất
hiện ra tận phía xa                                                     , hiện ra tận phía xa
xin được chân khuân vác                                                 , sinh được chân khuân vét
nhưng khi tiến gần vào vịnh thì mặt biển bị rạn vỡ                      , nhưng khia tiến gần vào vịnh hì mặt biển bị gạn vỡ
một bà ngoại giặt đồ thuê                                               , một và ngoại dặt đồ hơi
đôi bàn tay em không được mềm mại và nõn nà                             , đoa bàn tai em không được mìm mỡ và nón nà
tây giang vẫn còn khắc khoải không thể vào xã a nông                    , tùy gian vững còn khắc khỏi công hở về sẽ ai nông
những dự định cần phải được biến thành hiện thực                        , những dựa định cần phải được biến hành hiện hực
để tàu không phải cưỡi cầu tàu                                          , đỡ tàu không phải cửi cấu tàu
bàn chổi sơn bằng bông mềm rất phổ biến                                 , ban chỏi sơn bằng bàn bong mìm ngứt phổ biến
thật sự mà là bởi lòng hận thù                                          , hực sự mà là bới lòng hận hầu hựu
việc quy tội để bùng nổ loại sách này là do                             , việt quyê tội đỡ bồn nổ loại sắch này loà do
di tích có bảy phỗng ông và hai phỗng bà được làm bằng gỗ mít           , dự tích có bảy phỏng ông về hai phỏng và được làm vằng gựa mỿch
các chú cũng thoải mái phóng uế giữa chốn đông người mà không sợ        , các chú cũng hỏi mái phóng ở giữa chốn đông người mà công sợ
tiếng cọc cạch khựng lại của những khớp sắt                             , tuyến cọc cận khỏn lỏi của ở những cốt sắc
người ta nói                                                            , người ta nói
cũng lên tiếng ủng hộ các kiến nghị này                                 , cũng lên tiếng ống hộ các kí nghệ này
anh phú chưa bú được sữa mẹ lần nào                                     , anh phú chưa bú được sửa mẹ lần nào
ngọn lửa bạo động ở trung đông và phá vỡ lộ trình hòa bình              , ngọn lựa bỏ động ở trung đong và phá vỡ lỗi trinh qua bình
và rất sáng tạo                                                         , và ước ấy ấy
nhưng giấc ngủ chập chờn                                                , nhưng dứt ngủ chập trờng
giám đốc sở giáo dục đào tạo ninh thuận cho biết                        , giám đốc sợ giáo dục đào tờ ninh hỏn cho biết
đèn bị hư rồi ba                                                        , đang bị hươi gò ba
trưởng công an xã chạy sang can ngăn cũng bị tuyến đánh tiếp            , chuững công an sả trải sang can ngăn cũng vị tuyến đánh tiếp
nghe chúng tôi hỏi điều này chị ngát rân rấn nước mắt                   , nghe chúng tôi hỏa điệm này chị ngác gấn gứng nước mất
công văn đề nghị tỉnh con tum xây dựng cửa khẩu                         , cong văn đề nghễ tính con tôm xây dựng cửa khấu
nhưng tình yêu vẫn nồng nàn và say đắm như buổi ban đầu                 , nhưng tình yêu vửng nồng nàng và xe xe đấm nhười bủi ban đầu
do chính phủ mỹ tiến hành ở việt nam                                    , do chính phủ mỹ tiếng hành ở việt nam
tỉnh quảng trị đã phê duyệt                                             , tỉnh quán chị đỏ phơi diệt
nhưng tôi thích xem bộ phim truyện phát ngay sau chương trình này       , nhưng tui hít xem bổ phim chuyện phát gay sao chương trình này
cũng chưa biết nữa                                                      , cũng chưa biết nỗ
xuân này em không về                                                    , xuân này em không vời
chắc sắp tới thu xếp đi du lịch thôi                                    , chất sóp tới hồi xết đi dùi đật thôi
nó trốn mất tiêu rồi còn đâu                                            , nó chốn mức tiều gọi còn đau
thằng đó có cái miệng như đàn bà                                        , hạn đó có cái miệng nhười đần bà
bà nói                                                                  , bà nói
con nhỏ mở cái túi gút đeo trên cổ                                      , con nhoa mỡ cái tuy gút đeo trên của
cũng chẳng còn xúng xính quần áo mới                                    , cũng chặn còn xuống xính quỳng áo mới
trẻ em đâu có chướng ngại vật                                           , trẻ em đâu có chứng ngày vật
tôi không nỡ làm cô bé thất vọng                                        , tôi không nỡ lầm của bé thất phẩn
rất nhiều gửi gắm và kỳ vọng vào ông                                    , lức nhiều gũi gấm và kỳ vọng vào ông
đang thảo luận về đề xuất                                               , đăng thố luận về điệm suốt
chủ tịch nước đã đến kiểm tra tiến độ thi công                          , chứu tịch nước đã đấy đấy kiểm tra chuyến đổ thuyết công
nghĩa là kém cỏi nam tính hay sao                                       , nghĩa là kiếm có nóm tính hay sau
một cô gái váy ngắn cũn cỡn chạy lên hỏi                                , một cua gái váy ngáng cũng cỡn chạy lenh hỏa
sẽ không khiến bạn trông gầy như những trang phục một màu               , sẽ không khiến bạn trong gài như những trong phục một màu
cô chỉ mới vào lưới nhặt bóng hai lần                                   , cua chỉ mới vào lưới nhặt bóng hai lần
hoặc chỉ biểu hiện bằng các rối loạn co bóp                             , hạc chiệp biễu hiện bằng cất rứ loạn câu bóp
nhằm tạo ra sự hấp dẫn                                                  , nhằm tạo đó sự hấp dẫn
thứ âm thanh không chỉ cảm nhận bằng thính giác                         , thuức ôm thuanh không chiệt cảm nhận bằng thính giấc
từ nỗi cô đơn của một cô bé bị cha mẹ bỏ quên                           , từ nở của đang của một của bảy bị cho mẹ bỏ quanh
chính bà cũng là người nung nấu niềm đam mê diễn xuất của cô con gái    , chính bọ cũng là người nung nấu niềm đâm mê diễn sức của con gái
đó cũng là động lực thúc đẩy tôi                                        , đó cũng là động lực thúc để tôi
nhóm sinh viên tại trường cùng họp mặt ăn tết chung                     , nhóm sinh viên tại trường cùng học mặt ăn tích trung
vì tối đó                                                               , vự tử đó
đôi khi bạn cũng có thể làm những điều đó                               , đước khi bận cũng cũng có thể làm những biệu đó
rạch bàu mớp                                                            , rặt bầu múp
gí hòn than vào rơm                                                     , gía hoàn thoan vầu rum
cháu sốt nên rẹo rọc suốt đêm                                           , cháu sóc nênh reo rọc suốt đêm
và tôi thấy hoa vạn thọ vàng ươm                                        , và tôi thấy qua vận thỏ và ngườm
tay kia xách một tay gióng mang chiếc vịm lớn                           , tay chia sách một tay giống mang trức vĩm lớn
ngủ trên nệm không phù hợp                                              , ngủ trên nẹm không phù hợp
những ngày đầu vắng bóng ba việt cứ thừ người nghĩ ngợi                 , những ngày đầu váng bóng ba miệt cứ thừ người nghĩ ngủi nỹ ngửi
bị các cô gái bao vây ráo riết                                          , biệt cất cua gái bao vay rấu riết
trơ trọi giữa đồng cái nhìn khắc khoải                                  , truy trệ giữa đồng cái nhịn khoất khoấy
ngoài việc phát hiện kẻ thù                                             , ngoài việc phắc hiện cái thù
một là gặp lại tất cả các em phò                                        , mốc là gặp lại tất cả cất in phò
những sai lầm khi đi chọn khách sạn                                     , nhưng xe lầm khi đi đi chọn khách sẵn
anh đi công tác cần thơ tuần sau mới về                                 , anh điệt công tất cần thoa tuần sau mối về
có trả tiền cho bố không thì bảo                                        , có trả tiền cho bố không thì bảo
cam sành lột vỏ còn chua                                                , công sành lọc vó còn chua
anh khen em đẹp em chê anh già                                          , anh khang em đẹp em chia anh già
nhận được tin này gọi lại cho tôi gấp                                   , nhặng được tin này cọ lại cho tôi góp
ba này chỉ giỏi bốc phét                                                , ba này chị giỏ bút phắc
cho tôi nhắn đại tin nào cũng được                                      , cho tôi nhất đại tin nào cũng được
hãy tưởng tượng rằng bạn là là giám đốc dự án trong một công ty lớn     , hãy tượng tượng rằng bạn là giam đốc dự án trong một công ty lớn
của những thế lực hùng mạnh                                             , của những thấy lực hồn mệnh
ông nhặt nó lên                                                         , ông nhặt nó lên
nguyên thứ trưởng mai văn dâu đã bị bắt                                 , nguyên thứ trưởng mai văn giao đã bị bắt
nhưng mức án tử hình đối với các bị cáo là tương xứng                   , nhưng mức án tử thình đối với các vị cáo là tương dính
những người sống thì tha thẩn trong nhà ngoài ngõ                       , những người sống thì tha thản trong nhà ngoài ngỏ
cả không gian nhuốm màu tro bếp                                         , cũng không giang nhuốn mậu trô bếp
trán giô                                                                , trảng giờ
thu chạm ngõ rất hiền                                                   , thu chầm ngọ rất hiền
trông một cô nàng đổ người lên lưng anh người yêu gầy còm               , trong một cô nàng độ người lên lưng anh người yêu gầy cồm
doanh nghiệp tuyển dụng lao động nước ngoài                             , doanh nghiệp tuyển dụng lao động nước ngoài
thời hạn sử dụng và loại sản phẩm bột                                   , thời hạn sử dụng và loại sản phấm bột
mà còn bị những bộ mặt lạnh te kia hoạnh họe                            , mà còn bị những bồn mặt lạc lạnh té kia hoạn hoạt
nhưng mùi hôi vẫn xộc vào tận óc                                        , nhưng mùi hôi vẫn sốc vào tận áp
đang làm việc không ngừng nghỉ                                          , đang làm việc không ngừng nghị
thu hút rất là nhiều loài chim                                          , thuỳ hút rất là nhiều loại chim
khi cô thể hiện không mấy thành công ở lễ khai mạc                      , khi cô thể hiện không mấy thành công ở lễ khai mạc
ra hiệu cho tôi im lặng                                                 , ra hiệu cho tôi im lặng
nhỏ đưa tay ra cào hết bùn khô trên cổ tớ                               , nhỏ đưa tay ra cạo hết bùng khô trên cổ tớ
ngồi chồm chồm cách chỉ mấy mét                                         , ngồi chồm chồn cách chị mấy mét
nửa vòng trái đất hơn bảy năm                                           , nửa vòng trái đất hơn bấy năm
chậm nắm bắt xu hướng phát triển công nghệ mới                          , chấm năm bắt xu hưu hướng phát triển công nghệ mới
mà mường tượng ra hình bóng mẹ                                          , mà mườn tượng ra hình bóng mẹ
mỗi người một số phận em à                                              , mỗi người một sốt phần em à
lần lữa mãi mới gặp được tuyên                                          , lần nữa mải mới gặp được tuyên
làm đường dây để nối các mảnh đời                                       , làm đường dây để nói các mạnh đời
chị hai chủ quán nghe bàn tán rôm rả cũng ra góp chuyện                 , chị hai chủ quáng ngay bàn táng rồn rã cũng ra góp chuyện
tức khắc ập về kéo mọi người thứ trở lại thời hoang sơ                  , tức khắc ập về kéo mọi người thứ trở lại thời hoan sơ
tên gọi tại địa phương là trắc thối                                     , tên gọi tại địa phương là trắc thối
bốn chiếc trống đại phèng la                                            , bốn chiếc trống đại phèn la
một cú ngoặt không chính xác                                            , một cũ ngoặt không chính xét
mới đây nhất là các tiểu vương quốc ả rập thống nhất                    , mới đền nhất là các tỉo vườn quác ả rập thống nhất
cộng đồng người mê toán học trên toàn thế giới                          , cọng đồng người mê toán học trên toàn thế giới
tôi nghĩ thủ tướng sẽ không né tránh bất cứ câu hỏi nào                 , tôi nghĩ thủ tướng sẽ không né tranh bất tứ câu hỏi nào
bọn buôn lậu ma túy và vũ khí                                           , bọn buôn lậu ma túy và vũ khí
lại quay ra tập viết báo rồi gửi vu vơ                                  , lại quay ra tập viết báo rồi gửi vu vơ
nghe tiếng xình xịch xa xa thì đoán trúng phóc là hút hầm cầu           , ngay tiễn sình xịch xa xa xa thì đoán trung phác là hút hầm cầu
chưa rục rịch gì                                                        , chưa rục rịch gì
thế nhưng khi giá phôi thép thế giới cao dần                            , thấy nhận khi giả phối thếp thế giỡi cào dần
làm hỏng các thiết bị của tên lửa                                       , làm họng các thiết bị khủa tình lửa
đơn giản là tán gẫu với nhau                                            , đơn giản là tán gộ với nhau
mà do lối sống chui nhủi của chúng                                      , mà do lối lối sống chui nhuỗi của chúng
râu ria đã ba ngày không cạo                                            , ru ria đã ba nghề không cạo
một đường hướng chuyên nghiệp                                           , một đường hướng chuyên nghiệp
lính cứu hỏa khó tiếp cận hiện trường                                   , lính cứ họ hỏa khó tiếp cận hiện trường
những người trên ghe của công an đã nhắm thẳng vào ghe anh chủ          , những người trên ra của công an đã nhấm hẳn vào ra anh chủ
đừng buồn vì tự giằn vặt mình nữa                                       , đường buồn bị tự giằng vật mình nữa
và hít vào mũi làm chất này loãng ra                                    , và hích vào mũi làm chất này loẵng ra
đang hấp dẫn các tập đoàn phân phối đa quốc gia                         , đang hấp dẫn các tập đoàn phân phói đa quốc gia
dù là đậu sức mạnh hoặc cải bông khủng long                             , dùa là đầu sức mạnh hoật cả bong khuủng long
vì nó không nhắc đến những cuộc tấn công nhắm vào người do thái         , vì nó không nhắc đến những cuộc tấn công nhấm vào người do thấy
rồi khề khà đôi câu vọng cổ với chân chuột                              , rồi khi khà đôi câu vọng cổ với chân chuột
ở lớp nấu ăn gia đình                                                   , ở lớp nấu ăn gia đình
mà bạn có thể tham khảo để làm đẹp gian bếp                             , mà bạn có thể hâm khẩu để làm đẹp giang bếp
cái vị chát chát và đắng ngắt của cà phê nguyên chất                    , các vị chác chác và đắng ngắt của cà phê nguyên chất
các em nhỏ sẽ không còn phải đi trên những chuyến đò nguy hiểm          , các em nhỏ sẽ không còn phải đi trên những chiến đoàn nguy hiểm
làm cô nàng rọ rạy thức trắng cả đêm                                    , làm cô nàng rõ rây thức trấn cả đêm
giải quyết khối ung nhọt này phải cần đến một cuộc đại phẫu nghiêm túc  , dải quyết khối ung nhọt này vảy cần đến một cuộc đại phấu nghiêm túc
thậm chí càng giống áo quí nàng càng mốt                                , hẵm chí cần dống áo quy nàng gàn mót
còn bộ khang hi từ điển                                                 , còn bộ khăn hi từ điển
đôi môi mẹ phai son mấp máy một lời ca hoang hoải                       , đôi môi mấy mấy phay son mấp mấy một lời ca hoang hoải
số khác suy đoán rằng anh ta hành động ác tâm vậy                       , số khác suy đón rằng anh ta hành động át tâm vậy
làm khung                                                               , làm khung
hoặc bạn sẽ đến đấy với một tâm trạng chán ngán vô cùng                 , hoặc bạn sẽ đến đấy với một tâm trạng trán ngáng vô cùng
phải được thực hiện trên cơ sở                                          , phải được thực hiện trên cơ sở
hai mươi sáu hai mươi bảy                                               , hay mươi sáu hay mươi bảy
ba mươi ba mươi mốt                                                     , ba mươi ba mươi mốt
năm mươi năm mươi mốt                                                   , năm mươi năm mươi mốt
tám mươi sáu tám mươi bảy                                               , tám mươi sáu tám mươi bảy
tám mươi tám tám mươi chín                                              , tám mươi tám tám mươi chín
một trăm một hai ba                                                     , một tranh một hai ba
một ba năm bảy chín                                                     , một ba năm bảy chín
nói trước bước không qua                                                , nói trước bước không qua
chẳng là mấy hôm nay tôi đau bụng quá                                   , chấn là mấy hôm nay tôi đau buồng quá
sao kết quả ra tệ vậy                                                   , sau kết quả ra tệ vậy
tôi chỉ muốn xem những đoạn hay mà thôi                                 , tôi chỉ muốn xem những động hay mà thôi
công ty trách nhiệm hữu hạn ăn uống                                     , công ty trách nhiệm hữu hoàng ăn uốn
phí chuyển giao công nghệ là ba chục ngàn đồng                          , phía chuyển giao công nghệ là ba chục ngàn đồng
lương ba cọc ba đồng thì nuôi được ai                                   , lưng ba cọc ba đồng hề nuôi được ai
cô ấy đã quá chén                                                       , cô ấy đã quá chiến
hằng năm chúng ta thải ra hàng tỉ thiết bị điện tử                      , hàng năm chúng ta thể ra hàng tỉ thiết bị điện tử
cho những chuyến dã ngoại của du khách                                  , cho những chiến giới ngoại của du khết
những nhược điểm của mình                                               , những nhượt điểm của mình
vì đó mới chính là thứ bạn cần                                          , về đó mới chính là thứ bạn cần
gió trời không thể thông thốc thổi vào khai trung                       , rr r
bởi cơ quan chuyên môn hoặc thuê tổ chức kiểm toán độc lập              , bới cưa quan chiên môn hoặc thuê tổ chức kiểm toán độc lập
hoặc cho vào vại muối để lợn ăn dần                                     , hoặc cho vào vải muối đối lỡ đỡ lỡ ăn dần
cứ chụm các đầu ngón tay lại một chỗ                                    , cứ chửm rất đầu ngón tay lại một chỗ
đã có dự án để xây dựng một cái cầu từ đất liền                         , đểa có dự án để xây dựng một kế cầu từ đất liền
chạm vào phần thóp mềm trên đầu bé                                      , chạm vào phần thóp mềm trên đầu bé
thì bỗng nghe thấy tiếng oác oác từ vạt rừng phi lao                    , thì bỗng nghe tiếng óát quác từ vạc rưng phí lao
phục vụ cho mùa thi đại học đang đến sát sạt                            , phốt vụ cho mùa thi đại học đang đến sát sạc
trận chiến xích bích                                                    , trận chiến xích bích
nguyên thứ trưởng bộ đại học và giáo dục chuyên nghiệp cũ               , nguyễn thứ trưởng bộ để học và giáo dụng chuyên nghịp của
vào cơ quan là anh hót giống hệt nhồng mới lột lưỡi vậy                 , vào cơ quan là anh hót giống hệt nhồng với lột lửi vậy
áng chừng đã ngoại bảy mươi                                             , án chừng đã ngoại bấy mươi
có hai tác dụng tích cực                                                , có hai tác dụng tích cực
tham gia giảng dạy là lực lượng đoàn viên                               , thamp da giãng giảy là lực lượn đoan viên
đó hẳn là một món quà                                                   , đó hẳn là một món của
và khi thấy tôi vẫn kiên định trả lời trớt quớt                         , và khi thấy tôi vấn kiên định trả lời trất quốc
rô bót thông minh                                                       , rô bót thông minh
đầu tiên là bà con mình vật vã làm ăn                                   , đầu tiên là bà con mình vực vẫn lạm ăn
mà cho đến lúc đó được xem là của tư nhân                               , mà cho đến lúc đó đực xen là của tưa nhân
như lần này được nếm món giò thủ hoàn toàn làm từ tai heo               , như lần này được đếm món dò thủ hoan toan làm từ tay heo
những người hoài nghi nói rằng giữ được vật treo lủng lẳng trên người   , những người hoài nghi nói rằng giữ được vớt trao lũng lắng trên người
chíu chít gợi tình mẹ con sum họp                                       , chiếu chít gỡ tình mẻ con sinh họp
nơi có mấy tên trông rất gấu                                            , nơi có mấy tên trong rất gấu
nhiều người cho biết                                                    , nhu người cho biết
nhiều trụ đá di tích nằm nghiêng ngả và vỡ nát                          , nhiều trủ đá gia tích nằm nghiên ngã vỡ ở nác
họ cũng luôn tránh xa những tình huống có thể gây hại cho họ            , họ cũng luôn tránh sao những tình huống có thể gây hệ cho họ
trong cuộc sống của tôi chúng không dùng để kiếm ra lợi nhuận           , trong cuộc sống của tôi chúng không dùng để kiếm ra lỡi nhuấn
hai mươi bốn hai mươi lăm                                               , hai mười bốn hai mười lăm
hai mươi tám hai mươi chín                                              , hay mỹ tá hay mỹ chính
năm mươi hai năm mươi ba                                                , năm mưng hai năm mưng ba
sáu mươi tám sáu mươi chín                                              , xóng bưỡi tám sóng bưỡi chính
bảy mươi tám bảy mươi chín                                              , bấy mỹ trám bấy mỹ chính
chín mươi tám chín mươi chín                                            , chính mười tám chính mười chính
buổi sáng thành phố ô nhiễm hơn buổi trưa                               , bỗi sáng thành phố ô nhiễm hơn bỗi trưa
nóng giận tôi đã lăng mạ anh                                            , nóng dẫn tôi đã lắt mà anh
chủ tàu cho biết sẽ tiếp tục thương thuyết về số chi phí này            , chủ tòu cho biết sẽ tiếp tục thương tuyết về số chứ phí này
đừng để con sâu ăn                                                      , đừng để con sau ăn
cây cổ thụ ấy bất chợt bị bệnh tật quật ngã                             , k�a thầu ấy bất chợt bị bịnh tật quật ngã
và nếu bạn trót làm lộn xộn màn hình nền                                , và nếu bạn trót làm lộn sộ màn hành hành nền
đạo diễn trẻ này có nhiều điều ngẫm ngợi về nghề                        , đảo diễn tẻ này của nhiều đều ngấm ngỡ về nghề nghề
sẽ không khiến bạn trông gầy như những trang phục một màu               , sẽ không khiến bạn trong gại như như những căn phục một màu
bởi cơ quan chuyên môn hoặc thuê tổ chức kiểm toán độc lập              , bởi cơ quan chuyên mơn hoặc thuê tổ chức kiểm toán đọc lập
nó lật đật đạp chiếc xe cà tàng băng ngay ra đầu đường                  , nó lập đật đập chiếc xe cò tàng bấn ai ra đậu đường
hoặc chỉ biểu hiện bằng các rối loạn co bóp                             , hoặc chí biểu hiện vàng các rôi lo lộn coo bớp
khi tôi là con bé lớp bốn thì cây vả đã cao quá nóc nhà                 , khae tôi là con bé lớp bốn thì kê vả năc ca qua nóc nhà
buổi đầu thật khó khăn theo đuổi chương trình học                       , bũi đầu thật có khăn theo đỗa chưng trình học
việc đưa tín hiệu truyền hình trực tiếp bằng hệ thống cáp quang         , việc đưa tính hiệu truyền hình trực tiếp bận hệ thống cấp quan
vì không có tiền đóng học phí                                           , vì khđa ngó tìn đóng học phí
thì bỗng nghe mấy tiếng oác oác từ vạt rừng phi lao                     , hệ bỏng nghe mấy tiếng óe óe từ vật rừng phí lao
hay đảm bảo rằng ngày nào chúng cũng được đi những đôi tất sạch         , hai đấm bảo rằng nghề nào chúng cũng được đi những đôi tất sạch
về việc mang đến cho các em niềm vui học                                , về việc mang đến chất các em niềm vui học
có lẽ phải mất nhiều thời gian                                          , có lẽ phải mất nhiều thời gian
